batch,account_name,account_number,user_id,amount,status
1,Wicaksono,6a8b4590-7d11-4493-8a2b-c73b490cd03f,3,397,InActive
1,Adit,01b99958-20b4-4c14-b3f5-448f9b9f319f,3,614,Active
1,Wicaksono,5eee6c1d-b421-4b2f-ac4f-fcabd4fb2679,1,496,InActive
1,Kahfi,ce605a70-3369-4f86-a54b-3f6fedd83578,3,824,Active
1,Kahfi,15736eb1-f3d2-4ed7-8267-c6611c54b430,3,190,InActive
1,Wicaksono,0cb5f139-314c-4757-bcc3-9b8330fc6de8,1,709,InActive
1,Adit,9982d625-360b-442e-b67b-49b1a74cd01d,3,712,InActive
1,Wicaksono,83570fe7-6bd2-4116-83cb-9b1352fb8d8d,1,773,Active
1,Wicaksono,d781c37f-92dc-41bc-8024-f5ebc685c234,3,670,InActive
1,Adit,d9f094d2-770b-474f-becf-93d579084e6d,1,199,Active
1,Adit,ab9230b0-b999-412f-b29e-1b31c4fe3821,1,651,Active
1,Kahfi,bf062fdd-19fd-4015-962f-67255a908ae2,1,821,Active
1,Wicaksono,ea28136c-2f65-492d-8b8a-c3d5626150ab,1,24,InActive
1,Kahfi,eece4cb9-5d51-4c8a-90bf-7220afefac60,2,101,Active
1,Adit,23610ef5-d9e9-4d47-90c0-5c684773f45e,2,757,Active
1,Kahfi,4d9663cd-b088-4c60-9fe6-7fa5b2a7447f,1,594,Active
1,Wicaksono,819f0ddc-213b-430f-ae30-62e214be00f2,1,643,InActive
1,Kahfi,ff787178-7d14-4057-b39b-30c9690afe79,3,317,Active
1,Adit,49f01707-18a7-4a37-aa8f-06415fd7cfff,2,219,Active
1,Wicaksono,9a5cded9-0819-47be-8494-10861c432374,3,445,InActive
1,Wicaksono,6fdc547c-0f7f-4633-a488-f973a50b304f,2,807,Active
1,Wicaksono,82dd535a-49e6-45ae-937c-c78cf927dbb2,3,175,InActive
1,Wicaksono,3f25043d-5e63-4002-a043-c2247f15d684,1,583,InActive
1,Wicaksono,d85e1f06-2592-46c4-8cc5-42081d44260f,2,577,InActive
1,Kahfi,263a273e-5200-4e56-a3a5-a41d3e0c0ec3,3,913,InActive
1,Adit,9af733a6-e1bf-4791-b436-3739baa3bb26,3,417,Active
1,Kahfi,fd7e2f24-2f84-40d1-bc5c-0209058e02d9,2,667,InActive
1,Kahfi,4da4d282-07f2-44c2-9b6a-1732a270b867,2,578,Active
1,Wicaksono,6c58bdcd-c278-4050-aca8-a7fb5ea53fd9,2,31,InActive
1,Kahfi,0412128c-3763-4adf-8f10-5309e0ad07bc,1,324,Active
1,Kahfi,34ff02bc-13b4-431e-89ba-028c4e8486b1,1,617,Active
1,Wicaksono,1aad2bd8-d262-4122-910c-3c8fe58ecaca,1,953,InActive
1,Kahfi,049489d4-8fce-4922-a117-4def64a4c70e,3,46,InActive
1,Adit,a8c4dc75-cee8-4f89-aa14-0067f6ee84fd,3,90,Active
1,Wicaksono,afac0c65-8dd0-4260-8f15-32d3f7780537,1,391,Active
1,Kahfi,8f9a2b30-157a-4d93-ad0b-c9907013e9d6,1,71,InActive
1,Kahfi,847812b4-9d5f-4712-81a3-ebac82080c77,2,962,Active
1,Wicaksono,ced56f57-77ed-40ee-9701-11425bc85da2,3,451,Active
1,Kahfi,59402219-09f4-401b-8a24-6986b61dd10d,2,644,Active
1,Adit,fa7d292d-01ba-467f-96b8-67502965e183,1,661,InActive
1,Kahfi,be030bf2-3326-46ab-a419-f658f5e8d6dd,1,610,Active
1,Kahfi,f5b1b441-449f-4672-bb60-44e38862f616,2,464,InActive
1,Adit,fe58f805-2e47-4ff5-8e55-27c4a84cd155,3,974,InActive
1,Wicaksono,714f51f5-aea6-48d8-a446-f268685d80cb,3,681,InActive
1,Adit,8eb82d8d-ca32-4734-9662-45f120aac72b,1,799,Active
1,Adit,8fb4d971-98e2-4342-a4d4-6ebb36d9b35f,3,603,InActive
1,Adit,c81ec709-cad9-4ca3-812c-bd2bd97de2de,1,634,Active
1,Adit,bcf8a395-3beb-4eb7-b0d2-1563c6789f07,2,716,InActive
1,Adit,1e3b11ea-a8eb-4475-8fe9-3543b2c775b0,3,837,InActive
1,Adit,ff682c8d-2a7a-4254-afec-78c8ef732c00,1,942,Active
1,Adit,8990002e-63c6-4a35-920a-e7f512d9868e,2,257,Active
1,Kahfi,33ce2ed7-e5c2-42b1-8ab7-980b1a27d1f2,2,395,Active
1,Adit,f33240fc-3f11-42ef-a9be-bb32a918d7af,1,113,Active
1,Adit,4ee30e2b-043d-402e-a123-f295b1baf844,3,610,InActive
1,Adit,157ef471-059c-419a-a675-f3aa7d08ab74,1,189,InActive
1,Adit,648df443-0739-4cc9-b52e-a845b12d9254,3,532,InActive
1,Adit,993ba044-f45b-4bb5-9b3a-d7b7b68271fa,1,934,InActive
1,Kahfi,b282d410-b2b3-46aa-8649-ba8254958584,3,512,Active
1,Wicaksono,f2ace893-109b-4b8d-98f9-ed0888a8f658,1,797,InActive
1,Wicaksono,ff9d8599-5729-43ab-b5c7-6f879a30e025,2,116,InActive
1,Adit,9c55cd8e-de82-49ab-946c-52eeaf51f28f,1,458,Active
1,Wicaksono,072af6bf-fef0-4c3f-bb80-14c00c57ffb7,3,412,Active
1,Wicaksono,745416a1-0378-4d71-9f05-0d51f26797e1,3,801,InActive
1,Adit,e676f86c-1782-4e32-92b4-e8b87bd05f86,2,773,Active
1,Wicaksono,abf7a861-efb7-42b3-81a2-5f7371278e68,3,356,InActive
1,Kahfi,a5adc6f9-40db-4dae-ba2d-dd778cee1a89,2,482,InActive
1,Wicaksono,6d556c1a-0abf-492a-a194-3e64c5e23ade,2,530,InActive
1,Kahfi,576a4911-9c11-40be-be0b-5482316ee395,1,638,Active
1,Kahfi,8a991340-7154-4080-9555-154e39de0923,1,774,Active
1,Wicaksono,6d969cc6-d9c6-4263-be36-ed28e802e917,3,619,Active
1,Adit,493b6bf2-f8d6-4a4b-8c1c-1fe8a806d3c9,2,965,Active
1,Adit,c058d17f-d979-45b7-a2c9-f49dda820eb3,3,451,Active
1,Adit,31a7775c-361d-4c55-ba0f-1089d63ea554,3,491,Active
1,Kahfi,f4c4099c-a12d-4381-b097-4cf4a65591b1,1,273,Active
1,Kahfi,83f2910d-7eb7-46f7-9e72-f4c5d0dc55d3,3,718,Active
1,Kahfi,19af4fc5-5662-4a21-a6c5-eed3a19147f4,1,67,Active
1,Adit,92076cf4-b754-441d-a5bf-002cf9c8ce08,3,762,Active
1,Kahfi,6030a512-195f-4edc-bde7-68d988fafab7,3,283,Active
1,Wicaksono,d6c99946-00c6-46ac-96ca-ad1cd2c67664,2,113,InActive
1,Adit,daf09e21-19dd-415f-a8f8-98cb797d513c,1,250,InActive
1,Kahfi,22c48d50-c24f-4aad-8bfa-06ad456e6b88,3,771,Active
1,Adit,6eb46591-cb2f-4412-b6be-b66404d87890,3,84,InActive
1,Adit,9d14d6ce-0798-4e15-ab3c-2c2b8ff5a663,2,692,Active
1,Wicaksono,09f87b7a-5a2b-458b-8248-e4ed5646e139,1,77,Active
1,Adit,ac149258-3683-471f-858f-c3ca74577983,2,6,Active
1,Kahfi,a1696385-01f3-4f4c-a6af-63477f8a3dbe,1,662,Active
1,Wicaksono,9146d895-229f-4063-901e-f2de7fef1f7c,1,117,InActive
1,Adit,4dc2e7f0-ad1b-4f63-8270-44e6ab943e6e,1,525,InActive
1,Wicaksono,fec3bd85-85dd-4e90-8bb8-626ee5f7dc11,1,230,InActive
1,Adit,8b498f4a-590e-4750-a276-4f1ae11c3a7f,1,952,InActive
1,Kahfi,f718f8b1-8e10-4e27-8c2c-91c5e68e20d1,1,168,InActive
1,Wicaksono,7db6e9a8-e06e-47c3-892d-af972687c407,3,690,InActive
1,Wicaksono,51922043-d036-48a0-a276-fd94b7d96402,3,137,Active
1,Kahfi,bd3cb331-dfca-4875-ad53-e456c4b53047,3,394,InActive
1,Adit,6deeac13-3783-4fc5-8394-40686e9c4c8e,3,942,Active
1,Kahfi,194902ca-8328-421d-97ba-d37e132b5abb,1,357,InActive
1,Wicaksono,cc84ad27-0fdd-4a37-87f0-fff22c9d941f,2,871,Active
1,Kahfi,fa3d051e-f071-4e9f-8bc3-e984490e4ff0,1,277,InActive
1,Adit,b0137b85-9f27-4528-b02b-f7112e1e5214,2,938,InActive
1,Adit,944a4ae5-86c7-4baa-8757-f08880dc01e7,3,707,InActive
1,Wicaksono,d2962e50-4e07-43e1-9e5f-e8c82c5697b6,3,839,InActive
1,Kahfi,5dfb1b5a-d946-4561-9749-0867b9d790df,1,341,InActive
